titre_normalise,frequence
acceleration-arret,1
remise de gaz - perte des minimas de separation,1
fod gasoil - fuite/deversement,1
"fod jet-a1 - deversement avitaillement, surface inferieure a 1m²",1
"avion stationne et non haubane, deplace sur le parking par le vent",1
fod deversement jet-a1 - inferieur a 1m²,1
acces pax dans un mauvais avion,1
refus de priorite avion au repoussage - non avere,1
probleme ddpis - systeme indisponible,1
etat de veille sslia - probleme aeronef elevation temperature huile moteur,1
remise de gaz initiative atc cause axes croises,1
suspicion collision entre escabeau et aeronef - non avere,1
"fod hydraulique - fuite escabeau, surface inferieure a 1m²",1
deroutement sur lys cause couvre feu sur bsl,1
"fod - huile, surface superieure a 1m²",1
fod aeronautique - bouchon de reservoir,1
evt/25/8278 vehicule catering newrest coupe la trajectoire avion,1
escalier mobile avec rembardes arrieres non deployees,1
2 deroutements sur lys cause couvre feu bsl,1
interference d'un roulage aeronef avec un vehicule - non avere,1
dysfonctionnement declenchement barre d'arret b9 - non avere,1
indisponibilite du pra,1
fod carburant - deversement gpu,1
morceaux de betons sur point de parking,1
fod aeronautique - goujon de fermeture a quart de tour,1
gene au repoussage par charlatte passant derriere le tpx - non avere,1
fod - bidon en plastique,1
retex - incendie entre piste,1
non respect des regles de securite lors de l'avitaillement,1
fod - vis sur aire de manœuvre,1
etat de veille sslia suite probleme technique avion,1
suspicion collision animaliere,1
groupe de travail sgs adl/tiers - utilisation des cuves de ravitaillement + refus d priorite aeronefs,1
